step,customer,age,gender,zipcodeOri,merchant,zipMerchant,category,amount,fraud
1,'C3008960','3','M','28007','M140473321','28007','es_food',3.22,0
19,'C7193956','2','F','28007','M899407329','28007','es_fashion',105.78,0
85,'C5108880','4','F','28007','M720847085','28007','es_hyper',21.38,0
114,'C4173584','1','F','28007','M673284588','28007','es_tech',7.25,0
3,'C2014929','2','F','28007','M203316389','28007','es_food',38.89,0
121,'C7238795','1','M','28007','M687919316','28007','es_tech',48.11,0
97,'C2226476','3','M','28007','M806143916','28007','es_transportation',18.91,0
121,'C1691757','0','M','28007','M891867072','28007','es_health',53.59,0
28,'C5902666','1','M','28007','M302386214','28007','es_sportsandtoys',24.62,0
110,'C5131479','4','F','28007','M185518073','28007','es_wellnessandbeauty',8.19,0
80,'C2170365','5','M','28007','M629709256','28007','es_hotelservices',16.78,0
39,'C7984720','2','F','28007','M522135399','28007','es_hotelservices',4.76,0
107,'C6787749','2','M','28007','M493341995','28007','es_transportation',107.02,0
54,'C8599600','1','F','28007','M628048343','28007','es_health',59.5,0
117,'C3202575','3','M','28007','M729921035','28007','es_hotelservices',853.41,1
31,'C4813270','2','M','28007','M369959558','28007','es_fashion',9.49,0
71,'C7691409','3','M','28007','M981085410','28007','es_food',38.2,0
13,'C7081687','1','M','28007','M430511457','28007','es_health',16.54,0
107,'C2841648','2','F','28007','M640699345','28007','es_transportation',35.49,0
125,'C5137270','2','E','28007','M101020154','28007','es_hyper',18.96,0
95,'C9195810','1','M','28007','M326275356','28007','es_transportation',24.88,0
15,'C8969693','2','M','28007','M114372528','28007','es_health',14.33,0
67,'C4047569','1','M','28007','M176767936','28007','es_fashion',21.54,0
48,'C5317048','3','M','28007','M958826745','28007','es_fashion',5.28,0
38,'C1910775','4','F','28007','M760239421','28007','es_food',167.53,0
58,'C6693075','3','M','28007','M446356978','28007','es_hotelservices',553.3,1
168,'C2026553','3','M','28007','M348432388','28007','es_barsandrestaurants',77.33,0
98,'C7846192','1','M','28007','M135383985','28007','es_food',7.85,0
159,'C8663589','2','F','28007','M249744728','28007','es_tech',70.85,0
10,'C3339767','1','M','28007','M695918472','28007','es_health',71.35,0
8,'C4978702','3','F','28007','M473605306','28007','es_food',18.32,0
71,'C2725690','3','F','28007','M448090821','28007','es_fashion',42.24,0
80,'C1402732','2','F','28007','M420752313','28007','es_health',41.66,0
90,'C6203916','1','F','28007','M303693202','28007','es_sportsandtoys',7.99,0
47,'C6719720','2','M','28007','M873482164','28007','es_hotelservices',883.94,1
6,'C9437482','5','M','28007','M654357790','28007','es_hyper',1010.94,1
157,'C3592670','0','F','28007','M128500556','28007','es_hyper',5.07,0
154,'C4081328','2','M','28007','M644152417','28007','es_sportsandtoys',6.81,0
157,'C9824031','3','M','28007','M870935118','28007','es_fashion',98.89,0
95,'C6681635','1','M','28007','M994092304','28007','es_barsandrestaurants',24.46,0
21,'C3042999','0','F','28007','M856138670','28007','es_wellnessandbeauty',33.58,0
6,'C6155872','2','F','28007','M187649202','28007','es_hotelservices',316.89,1
28,'C2718224','1','F','28007','M216067598','28007','es_hyper',14.4,0
31,'C2502337','3','M','28007','M664080074','28007','es_health',7.73,0
91,'C4441628','4','M','28007','M694964410','28007','es_wellnessandbeauty',13.22,0
130,'C2847865','4','M','28007','M960535970','28007','es_transportation',18.09,0
14,'C3377935','2','M','28007','M974890200','28007','es_transportation',7.84,0
26,'C5437677','2','M','28007','M300995164','28007','es_fashion',121.94,0
147,'C5981262','2','M','28007','M637668880','28007','es_wellnessandbeauty',9.83,0
62,'C8330292','1','F','28007','M359252618','28007','es_transportation',4.63,0
63,'C5354385','2','F','28007','M278939423','28007','es_tech',54.97,0
135,'C7996746','2','M','28007','M541489995','28007','es_tech',2.65,0
53,'C5158549','1','M','28007','M210830503','28007','es_food',27.52,0
32,'C3049949','0','M','28007','M731030677','28007','es_hyper',31.34,0
173,'C8678073','3','M','28007','M819332214','28007','es_transportation',6.64,0
122,'C2443717','2','F','28007','M585091550','28007','es_tech',73.67,0
177,'C2308507','3','M','28007','M378421754','28007','es_hyper',30.18,0
133,'C4829049','3','F','28007','M275037566','28007','es_tech',610.54,1
11,'C5335702','3','M','28007','M597108210','28007','es_hotelservices',24.23,0
172,'C4174108','3','F','28007','M794378283','28007','es_food',39.07,0
36,'C2031519','2','F','28007','M450153627','28007','es_hotelservices',10.72,0
96,'C3614150','2','F','28007','M812566713','28007','es_sportsandtoys',16.86,0
107,'C5031419','0','F','28007','M437908319','28007','es_tech',47.22,0
65,'C1289102','4','M','28007','M215224489','28007','es_health',87.21,0
11,'C5443778','2','F','28007','M665078882','28007','es_hotelservices',85.9,0
86,'C8537165','5','M','28007','M548330564','28007','es_barsandrestaurants',11.94,0
59,'C6540070','2','F','28007','M802329669','28007','es_transportation',124.05,0
65,'C3090212','0','F','28007','M523973323','28007','es_sportsandtoys',11.47,0
30,'C8196042','4','M','28007','M447417167','28007','es_hotelservices',40.74,0
104,'C6154048','2','F','28007','M952909003','28007','es_transportation',17.58,0
27,'C7507640','2','M','28007','M243932619','28007','es_fashion',44.77,0
55,'C5015470','4','M','28007','M580691132','28007','es_wellnessandbeauty',4.06,0
36,'C4932441','0','M','28007','M968438213','28007','es_fashion',15.3,0
178,'C4040267','1','E','28007','M898725370','28007','es_food',128.54,0
38,'C7935774','1','F','28007','M497943702','28007','es_barsandrestaurants',3.07,0
44,'C7681935','4','F','28007','M797424903','28007','es_food',47.93,0
156,'C1800101','4','M','28007','M927322145','28007','es_transportation',103.27,0
157,'C5642929','1','F','28007','M592241198','28007','es_sportsandtoys',6.2,0
88,'C9704813','4','F','28007','M919803422','28007','es_fashion',32.13,0
62,'C3627144','4','E','28007','M110427148','28007','es_tech',453.12,1
67,'C9908385','2','M','28007','M819808101','28007','es_health',52.28,0
22,'C9545106','4','M','28007','M301302013','28007','es_barsandrestaurants',15.93,0
64,'C2961977','2','F','28007','M695102523','28007','es_tech',29.61,0
34,'C4037099','0','F','28007','M823463111','28007','es_hotelservices',26.29,0
84,'C1225049','5','F','28007','M805390491','28007','es_fashion',6.04,0
132,'C2654753','2','M','28007','M563448846','28007','es_hyper',46.32,0
122,'C8313834','0','M','28007','M132482294','28007','es_fashion',11.77,0
50,'C8188238','1','M','28007','M935621650','28007','es_food',35.62,0
116,'C5338843','2','M','28007','M573879971','28007','es_food',133.61,0
89,'C4403096','2','M','28007','M569937259','28007','es_hotelservices',9.14,0
55,'C2883376','2','M','28007','M849589587','28007','es_wellnessandbeauty',61.2,0
171,'C2906039','2','M','28007','M111098252','28007','es_hyper',27.34,0
136,'C4329049','1','F','28007','M791612025','28007','es_tech',82.6,0
48,'C8467866','3','M','28007','M411876114','28007','es_wellnessandbeauty',40.54,0
145,'C5428690','2','M','28007','M471980529','28007','es_fashion',48.73,0
160,'C9143478','2','M','28007','M367455268','28007','es_health',29.69,0
137,'C2206861','2','M','28007','M708916376','28007','es_food',33.81,0
145,'C9482626','2','M','28007','M926506992','28007','es_hyper',61.77,0
67,'C8226585','2','F','28007','M197163884','28007','es_wellnessandbeauty',80.61,0
130,'C1403322','2','F','28007','M926394380','28007','es_transportation',40.76,0
171,'C5077716','1','F','28007','M873660738','28007','es_barsandrestaurants',23.36,0
85,'C7520645','1','M','28007','M585091941','28007','es_transportation',22.69,0
115,'C7651143','2','M','28007','M852920396','28007','es_tech',579.95,1
157,'C5948600','3','M','28007','M318412431','28007','es_sportsandtoys',93.69,0
22,'C4772763','5','M','28007','M860213351','28007','es_sportsandtoys',66.59,0
148,'C6859046','4','F','28007','M129370827','28007','es_barsandrestaurants',4.28,0
35,'C4413654','1','M','28007','M476422740','28007','es_food',30.24,0
74,'C5584258','2','M','28007','M532049347','28007','es_food',90.14,0
170,'C2583246','U','F','28007','M995545833','28007','es_transportation',61.53,0
34,'C6287913','4','F','28007','M271929423','28007','es_hyper',4.95,0
148,'C8084609','1','M','28007','M990445005','28007','es_wellnessandbeauty',96.47,0
24,'C6272864','4','F','28007','M556352877','28007','es_barsandrestaurants',15.37,0
168,'C5217733','1','M','28007','M392797831','28007','es_fashion',291.92,1
67,'C8904428','2','F','28007','M883822431','28007','es_wellnessandbeauty',5.91,0
133,'C2428127','1','F','28007','M745108795','28007','es_hyper',4.22,0
161,'C4512664','1','E','28007','M348165628','28007','es_sportsandtoys',21.69,0
136,'C7976610','1','F','28007','M166088429','28007','es_health',43.17,0
96,'C7913283','2','M','28007','M594863718','28007','es_wellnessandbeauty',39.32,0
165,'C2297638','3','F','28007','M764854206','28007','es_health',20.71,0
13,'C5749766','3','F','28007','M147378941','28007','es_hyper',24.98,0
78,'C1502420','3','M','28007','M251655846','28007','es_fashion',2.43,0
81,'C2352144','1','F','28007','M977793982','28007','es_fashion',5.61,0
25,'C7919875','4','M','28007','M751592273','28007','es_sportsandtoys',35.32,0
156,'C8596585','3','F','28007','M981905768','28007','es_transportation',102.16,0
129,'C1442939','1','M','28007','M874463729','28007','es_hotelservices',55.18,0
27,'C3073290','2','M','28007','M959527893','28007','es_sportsandtoys',79.06,0
86,'C8436754','1','E','28007','M930101590','28007','es_fashion',3.36,0
86,'C7354986','3','F','28007','M552550114','28007','es_sportsandtoys',684.01,1
57,'C5335518','1','M','28007','M205886094','28007','es_health',9.17,0
4,'C1629085','3','M','28007','M848599433','28007','es_barsandrestaurants',27.3,0
80,'C6303943','3','F','28007','M666676417','28007','es_food',12.32,0
67,'C6137997','1','F','28007','M280179133','28007','es_food',6.68,0
90,'C3900737','2','F','28007','M189198479','28007','es_food',16.45,0
167,'C4759505','1','M','28007','M882014266','28007','es_hotelservices',102.31,0
157,'C2750740','3','F','28007','M154610032','28007','es_sportsandtoys',40.96,0
118,'C2556518','3','F','28007','M109625105','28007','es_fashion',23.6,0
135,'C9281447','2','M','28007','M331319263','28007','es_barsandrestaurants',12.98,0
91,'C1880412','3','M','28007','M895848916','28007','es_wellnessandbeauty',10.41,0
150,'C4690583','2','M','28007','M135154340','28007','es_transportation',14.36,0
18,'C6949852','1','F','28007','M646055448','28007','es_fashion',23.67,0
143,'C3513024','3','F','28007','M219838595','28007','es_sportsandtoys',76.16,0
97,'C4911146','2','F','28007','M379681325','28007','es_hyper',42.75,0
111,'C4099555','0','F','28007','M251661109','28007','es_transportation',50.46,0
120,'C2935090','3','M','28007','M108805586','28007','es_fashion',19.04,0
131,'C5742297','2','M','28007','M940173543','28007','es_hyper',800.57,1
3,'C8008443','3','M','28007','M478825846','28007','es_hyper',37.98,0
79,'C9874883','1','F','28007','M526786461','28007','es_food',2.81,0
146,'C3414802','1','M','28007','M249881373','28007','es_hotelservices',56.39,0
18,'C6510493','2','M','28007','M480535953','28007','es_wellnessandbeauty',58.57,0
46,'C9333100','1','F','28007','M253122543','28007','es_barsandrestaurants',50.13,0
102,'C7699144','5','M','28007','M381534963','28007','es_hotelservices',2.93,0
112,'C3326133','1','F','28007','M309274732','28007','es_health',12.51,0
45,'C8028722','2','M','28007','M326101296','28007','es_fashion',25.09,0
69,'C6913318','4','F','28007','M229764119','28007','es_tech',210.14,1
173,'C4651387','1','M','28007','M841410387','28007','es_sportsandtoys',2.47,0
151,'C7984297','1','M','28007','M210004150','28007','es_sportsandtoys',18.24,0
105,'C5464344','3','M','28007','M542766563','28007','es_sportsandtoys',800.68,1
106,'C6028035','2','F','28007','M471190853','28007','es_food',29.82,0
142,'C7342057','3','F','28007','M634403213','28007','es_tech',138.14,0
68,'C8863426','3','M','28007','M479087152','28007','es_health',104.83,0
139,'C8946232','1','M','28007','M821511294','28007','es_hotelservices',867.94,1
32,'C1206487','1','F','28007','M282732842','28007','es_tech',29.86,0
97,'C6451973','3','M','28007','M705416964','28007','es_food',10.52,0
73,'C6832801','4','M','28007','M295128405','28007','es_sportsandtoys',6.15,0
58,'C7439522','1','F','28007','M964850879','28007','es_hyper',29.55,0
67,'C1865139','2','M','28007','M649026004','28007','es_barsandrestaurants',12.33,0
124,'C9678376','2','F','28007','M349025392','28007','es_food',23.82,0
43,'C1443945','2','M','28007','M773365427','28007','es_hyper',18.75,0
146,'C2274634','1','F','28007','M259506327','28007','es_tech',37.24,0
54,'C9803208','2','F','28007','M241857895','28007','es_food',43.66,0
11,'C9468865','2','F','28007','M770630146','28007','es_food',26.76,0
128,'C3710527','2','F','28007','M402269103','28007','es_fashion',35.44,0
18,'C2960584','3','F','28007','M820527934','28007','es_hyper',47.21,0
161,'C9127747','U','F','28007','M770590522','28007','es_hyper',42.64,0
130,'C1239968','0','F','28007','M441048701','28007','es_fashion',16.38,0
8,'C2027557','2','F','28007','M376381611','28007','es_tech',62.34,0
107,'C7703560','2','F','28007','M436077954','28007','es_hotelservices',6.19,0
160,'C7841300','2','F','28007','M960500910','28007','es_food',38.86,0
175,'C4489429','3','F','28007','M502598749','28007','es_health',926.26,1
161,'C4802177','2','M','28007','M880264494','28007','es_hyper',39.28,0
0,'C5740039','1','M','28007','M488179522','28007','es_wellnessandbeauty',10.5,0
142,'C8331006','1','F','28007','M779920564','28007','es_wellnessandbeauty',73.73,0
38,'C3148091','3','M','28007','M775147488','28007','es_barsandrestaurants',30.77,0
90,'C8486327','2','M','28007','M665268980','28007','es_sportsandtoys',20.63,0
77,'C3892371','0','M','28007','M216715789','28007','es_hotelservices',6.77,0
82,'C1515693','4','F','28007','M335822792','28007','es_wellnessandbeauty',35.99,0
72,'C1273146','2','F','28007','M680203282','28007','es_wellnessandbeauty',44.57,0
60,'C9309411','1','M','28007','M153274943','28007','es_transportation',14.55,0
52,'C2558242','1','F','28007','M524378408','28007','es_wellnessandbeauty',75.41,0
1,'C3414165','4','M','28007','M439169974','28007','es_transportation',21.62,0
10,'C1422381','4','F','28007','M373335620','28007','es_wellnessandbeauty',25.46,0
136,'C6289283','4','M','28007','M984009439','28007','es_transportation',43.5,0
167,'C3320715','4','M','28007','M690660110','28007','es_tech',8.3,0
149,'C7961383','4','M','28007','M266654456','28007','es_health',27.14,0
27,'C8296405','3','F','28007','M154441451','28007','es_food',24.41,0
104,'C6547094','2','F','28007','M112545745','28007','es_transportation',34.43,0
26,'C3471378','1','F','28007','M449382748','28007','es_transportation',24.2,0
175,'C8010131','1','F','28007','M123647205','28007','es_transportation',10.65,0
42,'C1749971','1','M','28007','M325853780','28007','es_fashion',27.16,0
106,'C7094645','4','M','28007','M474060580','28007','es_transportation',6.23,0
50,'C5107834','2','F','28007','M853424063','28007','es_health',94.79,0
44,'C1192512','2','F','28007','M668046151','28007','es_sportsandtoys',12.45,0
160,'C9312934','5','F','28007','M584818072','28007','es_hyper',63.93,0
176,'C3164563','3','M','28007','M674833629','28007','es_transportation',18.12,0
146,'C5204955','2','F','28007','M762454603','28007','es_hotelservices',50.5,0
1,'C3593726','2','F','28007','M692873266','28007','es_hotelservices',7.23,0
120,'C9494630','4','F','28007','M617794458','28007','es_fashion',4.41,0
143,'C7494503','3','F','28007','M239555083','28007','es_health',5.09,0
100,'C9201428','3','M','28007','M386573975','28007','es_tech',556.76,1
106,'C2046161','2','M','28007','M282683720','28007','es_fashion',33.23,0
107,'C7465377','2','M','28007','M440446379','28007','es_tech',15.44,0
47,'C3538143','2','F','28007','M982984547','28007','es_transportation',27.09,0
155,'C4615652','2','M','28007','M151139392','28007','es_transportation',16.53,0
145,'C1788443','0','M','28007','M279187162','28007','es_transportation',67.74,0
135,'C6637025','3','F','28007','M356359909','28007','es_transportation',8.41,0
177,'C6217092','1','F','28007','M237064002','28007','es_wellnessandbeauty',10.2,0
106,'C6446079','2','M','28007','M371468805','28007','es_fashion',82.62,0
124,'C7299492','2','M','28007','M429455611','28007','es_tech',13.91,0
174,'C9556255','2','F','28007','M762047908','28007','es_tech',29.31,0
85,'C4494708','3','M','28007','M324769577','28007','es_food',9.58,0
84,'C7898046','1','F','28007','M347857510','28007','es_wellnessandbeauty',32.4,0
23,'C9950668','2','F','28007','M751884978','28007','es_transportation',14.51,0
151,'C3181906','1','M','28007','M269477403','28007','es_fashion',29.41,0
146,'C7289249','3','F','28007','M615263627','28007','es_barsandrestaurants',56.71,0
4,'C6333968','3','M','28007','M248009977','28007','es_barsandrestaurants',23.74,0
47,'C4070771','4','F','28007','M638287865','28007','es_wellnessandbeauty',9.95,0
150,'C2230746','2','F','28007','M431910897','28007','es_transportation',140.24,0
81,'C9802907','3','F','28007','M415804419','28007','es_hyper',9.83,0
72,'C4770183','4','M','28007','M516478064','28007','es_transportation',4.26,0
37,'C7839789','1','F','28007','M154101105','28007','es_barsandrestaurants',46.89,0
53,'C7969129','2','F','28007','M399779275','28007','es_food',48.22,0
29,'C2790008','3','E','28007','M961789553','28007','es_sportsandtoys',5.29,0
29,'C6124674','3','F','28007','M396479630','28007','es_fashion',1133.95,1
127,'C3531528','3','F','28007','M587925953','28007','es_sportsandtoys',46.95,0
127,'C4678621','0','M','28007','M311013191','28007','es_health',32.12,0
33,'C9547900','1','F','28007','M880604481','28007','es_sportsandtoys',1034.18,1
123,'C1237199','2','M','28007','M756585740','28007','es_sportsandtoys',11.26,0
38,'C3332214','4','M','28007','M496128038','28007','es_transportation',10.66,0
12,'C9291860','1','M','28007','M141280792','28007','es_barsandrestaurants',46.53,0
31,'C1562621','2','F','28007','M334751541','28007','es_wellnessandbeauty',28.15,0
177,'C2195885','3','F','28007','M325489941','28007','es_wellnessandbeauty',54.26,0
11,'C3584182','1','F','28007','M416874487','28007','es_food',13.09,0
48,'C6070414','1','M','28007','M241805404','28007','es_hotelservices',33.5,0
86,'C6305431','3','M','28007','M917970091','28007','es_tech',1127.43,1
120,'C4689024','1','F','28007','M600569761','28007','es_wellnessandbeauty',79.86,0
140,'C3188370','4','M','28007','M852220850','28007','es_fashion',3.51,0
156,'C4994528','4','F','28007','M855260342','28007','es_hotelservices',416.94,1
12,'C6170080','1','M','28007','M856379075','28007','es_tech',5.9,0
139,'C6630761','1','F','28007','M680336486','28007','es_tech',6.12,0
104,'C7759291','4','M','28007','M323636196','28007','es_wellnessandbeauty',10.34,0
72,'C1118581','4','M','28007','M863701868','28007','es_hyper',14.25,0
7,'C4110691','3','M','28007','M722051307','28007','es_fashion',24.1,0
64,'C1164074','2','M','28007','M578941301','28007','es_barsandrestaurants',12.9,0
52,'C3338377','0','M','28007','M475146263','28007','es_food',6.65,0
137,'C1737954','2','M','28007','M232876304','28007','es_barsandrestaurants',47.17,0
152,'C8563493','3','M','28007','M174099471','28007','es_transportation',132.56,0
